name,Data,Distancia_km,Distancia_Formatada,Duracao_min,Pace_Formatado,Pace_Segundos_por_km,average_speed,total_elevation_gain,moving_time
Afternoon Run,2024-06-19,5.001399999999999,5.00 km,24.983333333333334,04:59,299.7160794977407,3.336,6.1,1499
Evening Run,2024-06-17,5.3028,5.30 km,27.683333333333334,05:13,313.23074602097,3.193,6.0,1661
Sabadão,2024-06-15,15.0045,15.00 km,82.75,05:30,330.90072978106565,3.022,66.4,4965
Afternoon Run,2024-06-13,6.010800000000001,6.01 km,31.333333333333332,05:12,312.7703467092566,3.197,9.0,1880
Afternoon Run,2024-06-11,5.1097,5.11 km,26.066666666666666,05:06,306.08450593968337,3.267,5.9,1564
Domingão,2024-06-09,12.005799999999999,12.01 km,66.56666666666666,05:32,332.672541604891,3.006,104.2,3994
Afternoon Run,2024-06-07,5.0083,5.01 km,23.933333333333334,04:46,286.7240380967594,3.488,7.8,1436
Evening Run,2024-06-05,1.0019,1.00 km,5.1,05:05,305.4197025651263,3.274,0.0,306
Evening Run,2024-06-05,5.0712,5.07 km,25.25,04:58,298.74585896829154,3.347,6.1,1515
Morning Run,2024-06-03,6.0035,6.00 km,29.033333333333335,04:50,290.1640709586075,3.446,8.8,1742
Morning Run,2024-06-01,5.0013000000000005,5.00 km,27.016666666666666,05:24,324.1157299102233,3.085,6.0,1621
Evening Run,2024-05-27,5.0421000000000005,5.04 km,25.35,05:01,301.66002260962694,3.315,6.1,1521
Evening Run,2024-01-26,5.6277,5.63 km,32.63333333333333,05:47,347.92188638342486,2.874,8.2,1958
Morning Run,2024-01-21,6.4212,6.42 km,23.766666666666666,03:42,222.07687036690962,4.503,42.4,1426
Morning Run,2024-01-20,16.0735,16.07 km,94.45,05:52,352.5678912495723,2.836,40.4,5667
Morning Run,2024-01-18,11.335899999999999,11.34 km,57.81666666666667,05:06,306.01893100680144,3.268,59.5,3469
Afternoon Run,2024-01-16,10.0078,10.01 km,52.88333333333333,05:17,317.05269889486203,3.154,31.5,3173
Morning Run,2024-01-14,5.2825,5.28 km,27.783333333333335,05:15,315.57027922385237,3.169,22.4,1667
Morning Run,2024-01-13,5.0071,5.01 km,22.8,04:33,273.2120389047552,3.66,8.5,1368
Morning Run,2024-01-11,10.3379,10.34 km,57.4,05:33,333.1430948258351,3.002,33.8,3444
Afternoon Run,2024-01-08,5.3793,5.38 km,29.766666666666666,05:32,332.0134590002417,3.012,20.7,1786
Morning Run,2024-01-07,13.0021,13.00 km,70.1,05:23,323.48620607440336,3.091,38.4,4206
Afternoon Run,2024-01-03,5.0069,5.01 km,24.1,04:48,288.80145399348896,3.463,20.8,1446
